InvoiceNo;StockCode;Description;Quantity;InvoiceDate;UnitPrice;CustomerID;Country
536389;22941;CHRISTMAS LIGHTS 10 REINDEER;6;01/12/2010 10:03;8,5;12431;Australia
536389;21622;VINTAGE UNION JACK CUSHION COVER;8;01/12/2010 10:03;4,95;12431;Australia
536389;21791;VINTAGE HEADS AND TAILS CARD GAME ;12;01/12/2010 10:03;1,25;12431;Australia
536389;35004C;SET OF 3 COLOURED  FLYING DUCKS;6;01/12/2010 10:03;5,45;12431;Australia
536389;35004G;SET OF 3 GOLD FLYING DUCKS;4;01/12/2010 10:03;6,35;12431;Australia
536389;85014B;RED RETROSPOT UMBRELLA;6;01/12/2010 10:03;5,95;12431;Australia
536389;85014A;BLACK/BLUE POLKADOT UMBRELLA;3;01/12/2010 10:03;5,95;12431;Australia
536389;22193;RED DINER WALL CLOCK;2;01/12/2010 10:03;8,5;12431;Australia
536389;22726;ALARM CLOCK BAKELIKE GREEN;4;01/12/2010 10:03;3,75;12431;Australia
536389;22727;ALARM CLOCK BAKELIKE RED ;4;01/12/2010 10:03;3,75;12431;Australia
536389;22192;BLUE DINER WALL CLOCK;2;01/12/2010 10:03;8,5;12431;Australia
536389;22191;IVORY DINER WALL CLOCK;2;01/12/2010 10:03;8,5;12431;Australia
536389;22195;LARGE HEART MEASURING SPOONS;24;01/12/2010 10:03;1,65;12431;Australia
536389;22196;SMALL HEART MEASURING SPOONS;24;01/12/2010 10:03;0,85;12431;Australia
537676;22567;20 DOLLY PEGS RETROSPOT;24;08/12/2010 9:53;1,25;12386;Australia
537676;22915;ASSORTED BOTTLE TOP  MAGNETS ;120;08/12/2010 9:53;0,36;12386;Australia
537676;22926;IVORY GIANT GARDEN THERMOMETER;12;08/12/2010 9:53;5,95;12386;Australia
537676;22953;BIRTHDAY PARTY CORDON BARRIER TAPE;24;08/12/2010 9:53;1,25;12386;Australia
537676;21906;PHARMACIE FIRST AID TIN;4;08/12/2010 9:53;6,75;12386;Australia
537676;22495;SET OF 2 ROUND TINS CAMEMBERT ;6;08/12/2010 9:53;2,95;12386;Australia
537676;22555;PLASTERS IN TIN STRONGMAN;12;08/12/2010 9:53;1,65;12386;Australia
537676;22557;PLASTERS IN TIN VINTAGE PAISLEY ;12;08/12/2010 9:53;1,65;12386;Australia
