InvoiceNo;StockCode;Description;Quantity;InvoiceDate;UnitPrice;CustomerID;Country
C538971;22153;ANGEL DECORATION STARS ON DRESS;-48;15/12/2010 11:39;0,42;12865;Austria
539330;37449;CERAMIC CAKE STAND + HANGING CAKES;8;17/12/2010 9:38;8,5;12370;Austria
539330;37446;MINI CAKE STAND WITH HANGING CAKES;8;17/12/2010 9:38;1,45;12370;Austria
539330;22962;JAM JAR WITH PINK LID;12;17/12/2010 9:38;0,85;12370;Austria
539330;21428;SET3 BOOK BOX GREEN GINGHAM FLOWER ;4;17/12/2010 9:38;4,25;12370;Austria
539330;22113;GREY HEART HOT WATER BOTTLE;4;17/12/2010 9:38;3,75;12370;Austria
539330;22313;OFFICE MUG WARMER PINK;6;17/12/2010 9:38;2,95;12370;Austria
539330;22312;OFFICE MUG WARMER POLKADOT;6;17/12/2010 9:38;2,95;12370;Austria
539330;POST;POSTAGE;3;17/12/2010 9:38;40;12370;Austria
542887;20713;JUMBO BAG OWLS;10;01/02/2011 13:10;1,95;12373;Austria
542887;21931;JUMBO STORAGE BAG SUKI;20;01/02/2011 13:10;1,95;12373;Austria
542887;22553;PLASTERS IN TIN SKULLS;12;01/02/2011 13:10;1,65;12373;Austria
542887;20724;RED RETROSPOT CHARLOTTE BAG;30;01/02/2011 13:10;0,85;12373;Austria
542887;20719;WOODLAND CHARLOTTE BAG;20;01/02/2011 13:10;0,85;12373;Austria
542887;20726;LUNCH BAG WOODLAND;20;01/02/2011 13:10;1,65;12373;Austria
542887;22328;ROUND SNACK BOXES SET OF 4 FRUITS ;6;01/02/2011 13:10;2,95;12373;Austria
542887;20712;JUMBO BAG WOODLAND ANIMALS;20;01/02/2011 13:10;1,95;12373;Austria
542887;22326;ROUND SNACK BOXES SET OF4 WOODLAND ;12;01/02/2011 13:10;2,95;12373;Austria
542887;21481;FAWN BLUE HOT WATER BOTTLE;6;01/02/2011 13:10;2,95;12373;Austria
542887;85099B;JUMBO BAG RED RETROSPOT;10;01/02/2011 13:10;1,95;12373;Austria
542887;22356;CHARLOTTE BAG PINK POLKADOT;10;01/02/2011 13:10;0,85;12373;Austria
542887;20728;LUNCH BAG CARS BLUE;20;01/02/2011 13:10;1,65;12373;Austria
542887;POST;POSTAGE;1;01/02/2011 13:10;40;12373;Austria
543027;17003;BROCADE RING PURSE ;36;02/02/2011 14:51;0,21;12414;Austria
543027;22556;PLASTERS IN TIN CIRCUS PARADE ;12;02/02/2011 14:51;1,65;12414;Austria
543027;22551;PLASTERS IN TIN SPACEBOY;12;02/02/2011 14:51;1,65;12414;Austria
543027;22557;PLASTERS IN TIN VINTAGE PAISLEY ;12;02/02/2011 14:51;1,65;12414;Austria
543027;20974;12 PENCILS SMALL TUBE SKULL;24;02/02/2011 14:51;0,65;12414;Austria
543027;20975;12 PENCILS SMALL TUBE RED RETROSPOT;48;02/02/2011 14:51;0,65;12414;Austria
543027;POST;POSTAGE;1;02/02/2011 14:51;40;12414;Austria
545570;22556;PLASTERS IN TIN CIRCUS PARADE ;24;03/03/2011 16:28;1,65;12817;Austria
545570;22139;RETROSPOT TEA SET CERAMIC 11 PC ;12;03/03/2011 16:28;4,95;12817;Austria
545570;84879;ASSORTED COLOUR BIRD ORNAMENT;16;03/03/2011 16:28;1,69;12817;Austria
545570;POST;POSTAGE;1;03/03/2011 16:28;40;12817;Austria
