InvoiceNo;StockCode;Description;Quantity;InvoiceDate;UnitPrice;CustomerID;Country
563852;84816;DANISH ROSE BEDSIDE CABINET;1;19/08/2011 15:18;39.95;12395;Belgium
545536;22504;CABIN BAG VINTAGE RETROSPOT;1;03/03/2011 14:12;29.95;12417;Belgium
572887;22504;CABIN BAG VINTAGE RETROSPOT;2;26/10/2011 13:47;29.95;12362;Belgium
577180;22504;CABIN BAG VINTAGE RETROSPOT;6;18/11/2011 11:27;24.95;12380;Belgium
573656;23462;ROCOCO WALL MIRROR WHITE;1;31/10/2011 16:02;19.95;12417;Belgium
C575669;23462;ROCOCO WALL MIRROR WHITE;-1;10/11/2011 15:00;19.95;12417;Belgium
537026;POST;POSTAGE;2;03/12/2010 16:35;18;12395;Belgium
539447;POST;POSTAGE;3;17/12/2010 16:00;18;12395;Belgium
546434;POST;POSTAGE;4;14/03/2011 8:41;18;12383;Belgium
549825;POST;POSTAGE;2;12/04/2011 12:47;18;12463;Belgium
553415;POST;POSTAGE;2;17/05/2011 10:02;18;12463;Belgium
557232;POST;POSTAGE;2;17/06/2011 14:28;18;12463;Belgium
562445;POST;POSTAGE;3;04/08/2011 18:51;18;12417;Belgium
567928;POST;POSTAGE;3;22/09/2011 17:31;18;12380;Belgium
571187;POST;POSTAGE;3;14/10/2011 11:39;18;12380;Belgium
571445;POST;POSTAGE;2;17/10/2011 13:44;18;12463;Belgium
572133;POST;POSTAGE;2;21/10/2011 10:11;18;12407;Belgium
575154;POST;POSTAGE;2;08/11/2011 16:15;18;12395;Belgium
577046;POST;POSTAGE;7;17/11/2011 13:46;18;12449;Belgium
577180;POST;POSTAGE;8;18/11/2011 11:27;18;12380;Belgium
580979;POST;POSTAGE;3;06/12/2011 15:40;18;12362;Belgium
544193;22846;BREAD BIN DINER STYLE RED ;1;17/02/2011 8:23;16.95;12431;Belgium
547109;23007; SPACEBOY BABY GIFT SET;1;21/03/2011 11:46;16.95;12423;Belgium
547109;23008;DOLLY GIRL BABY GIFT SET;1;21/03/2011 11:46;16.95;12423;Belgium
547684;23008;DOLLY GIRL BABY GIFT SET;3;24/03/2011 14:46;16.95;12408;Belgium
547684;23007; SPACEBOY BABY GIFT SET;3;24/03/2011 14:46;16.95;12408;Belgium
554159;22847;BREAD BIN DINER STYLE IVORY;3;23/05/2011 11:48;16.95;12464;Belgium
554159;22846;BREAD BIN DINER STYLE RED ;3;23/05/2011 11:48;16.95;12464;Belgium
555574;23007; SPACEBOY BABY GIFT SET;1;05/06/2011 15:46;16.95;12417;Belgium
555574;23010;CIRCUS PARADE BABY GIFT SET;1;05/06/2011 15:46;16.95;12417;Belgium
555574;23008;DOLLY GIRL BABY GIFT SET;1;05/06/2011 15:46;16.95;12417;Belgium
559295;22509;SEWING BOX RETROSPOT DESIGN ;1;07/07/2011 12:32;16.95;12362;Belgium
561507;23007; SPACEBOY BABY GIFT SET;2;27/07/2011 14:21;16.95;12397;Belgium
561507;23010;CIRCUS PARADE BABY GIFT SET;2;27/07/2011 14:21;16.95;12397;Belgium
561507;23008;DOLLY GIRL BABY GIFT SET;2;27/07/2011 14:21;16.95;12397;Belgium
567530;23007; SPACEBOY BABY GIFT SET;1;21/09/2011 9:33;16.95;12390;Belgium
567530;23008;DOLLY GIRL BABY GIFT SET;1;21/09/2011 9:33;16.95;12390;Belgium
568651;22947;WOODEN ADVENT CALENDAR RED;2;28/09/2011 12:04;16.95;12362;Belgium
568651;22946;WOODEN ADVENT CALENDAR CREAM;2;28/09/2011 12:04;16.95;12362;Belgium
572887;23010;CIRCUS PARADE BABY GIFT SET;1;26/10/2011 13:47;16.95;12362;Belgium
572887;23009;I LOVE LONDON BABY GIFT SET;1;26/10/2011 13:47;16.95;12362;Belgium
572887;23008;DOLLY GIRL BABY GIFT SET;1;26/10/2011 13:47;16.95;12362;Belgium
572887;23007; SPACEBOY BABY GIFT SET;1;26/10/2011 13:47;16.95;12362;Belgium
573656;22847;BREAD BIN DINER STYLE IVORY;1;31/10/2011 16:02;16.95;12417;Belgium
573656;23008;DOLLY GIRL BABY GIFT SET;1;31/10/2011 16:02;16.95;12417;Belgium
574336;22846;BREAD BIN DINER STYLE RED ;1;04/11/2011 9:52;16.95;12397;Belgium
580965;23007; SPACEBOY BABY GIFT SET;1;06/12/2011 14:52;16.95;12417;Belgium
539391;POST;POSTAGE;2;17/12/2010 11:51;15;12417;Belgium
539676;POST;POSTAGE;3;21/12/2010 10:54;15;12423;Belgium
539840;POST;POSTAGE;3;22/12/2010 14:28;15;12383;Belgium
540971;POST;POSTAGE;4;12/01/2011 14:10;15;12383;Belgium
541675;POST;POSTAGE;2;20/01/2011 13:49;15;12402;Belgium
541991;POST;POSTAGE;2;25/01/2011 9:11;15;12417;Belgium
543117;POST;POSTAGE;3;03/02/2011 13:30;15;12464;Belgium
543537;POST;POSTAGE;1;09/02/2011 13:50;15;12401;Belgium
543733;POST;POSTAGE;1;11/02/2011 12:16;15;12395;Belgium
544193;POST;POSTAGE;5;17/02/2011 8:23;15;12431;Belgium
544203;POST;POSTAGE;3;17/02/2011 10:30;15;12362;Belgium
544474;POST;POSTAGE;1;21/02/2011 9:52;15;12423;Belgium
545017;POST;POSTAGE;1;25/02/2011 13:51;15;12361;Belgium
545140;POST;POSTAGE;2;28/02/2011 12:08;15;12464;Belgium
545314;POST;POSTAGE;4;01/03/2011 14:11;15;12866;Belgium
545536;POST;POSTAGE;3;03/03/2011 14:12;15;12417;Belgium
547061;POST;POSTAGE;1;20/03/2011 13:21;15;12407;Belgium
547109;POST;POSTAGE;2;21/03/2011 11:46;15;12423;Belgium
547412;POST;POSTAGE;1;23/03/2011 9:42;15;12399;Belgium
