id;title;tagnames;author_id;body;node_type;parent_id;abs_parent_id;added_at;score;state_string;last_edited_id;last_activity_by_id;last_activity_at;active_revision_id;extra;extra_ref_id;extra_count;marked
11003345;;cs215 ;100000197;"<p>First of all, you have to give 'aliases' to all nodes in the graph, since string comparisons are slower than, for instance, int comparisons.</p>
<p>Secondly, I never pop items from the open list. Since we only add to tail and take from head, I simply decided to use an index to retrieve the next item at that index, then increment the index. Despite what was said somewhere in the lecture that removal is O(1) operation, it does not seem to be so.</p>
<p>Thirdly, I compute total distance as I go and divide that by the length of the open list in the end (right before return). That's in contrast to doing additional summation on the values of the temporary dictionary.</p>
<p>There are some other optimizations and also I store edges in the graphs as tuples rather than dictionaries in which values are not used and are simply set to 1.</p>
<hr>
<p>I understand it may be hard to follow my words and understand what I am saying, so if there is considerable demand, I can post my code after the official solutions are released.</p>";comment;11003260;11003237;2012-07-20 21:02:14.017006+00;1;;\N;100000197;2012-07-20 21:02:14.017006+00;11004776;\N;\N;0;f
11003365;;cs215 ;100020078;"<p>Anmar, I found an explicit formula for $%x$% using the derivative of the function we are trying to minimize with respect to $%x$%. </p>
<p>The short proof is on top of the thread below (although I think that it is currently incorrectly marked as ps4-4). Obviously it contains a spoiler:</p>
<p><a href=""http://forums.udacity.com/cs215/questions/3277/spoilers-mathematical-proofs-for-ps4-3-and-ps4-4"" rel=""nofollow"">http://forums.udacity.com/cs215/questions/3277/spoilers-mathematical-proofs-for-ps4-3-and-ps4-4</a></p>
<p>If you want to do this without using calculus, you can expand the sum of squared distances and then write it in the form $%(x - a)^2 + C$%, where $%C$% and $%a$% are constants independent of $%x$%, but dependent on the values in the list. Then, $%a$% will be the value of $%x$% which minimizes the expression.</p>";comment;11003238;11003200;2012-07-20 22:35:56.211008+00;0;;11030878;100020078;2012-07-20 22:52:03.039791+00;11004827;\N;\N;0;f
11003376;;cs215 ;100025468;"<p><a href=""http://forums.udacity.com/users/100023849/mike-stoessl""><a href=""http://forums.udacity.com/users/100023849/mike-stoessl"">@Mike</a></a>: one important trick i learnt in solving ps3-7 is to use collections.deque instead. it provides O(1) append and popleft operations. for some reason using an index pointer was a fraction of second slower than using deque. see this thread: <a href=""http://forums.udacity.com/cs215/questions/2834/my-solution-to-ps3-7-centrality"" rel=""nofollow"">http://forums.udacity.com/cs215/questions/2834/my-solution-to-ps3-7-centrality</a></p>";comment;11003237;11003237;2012-07-20 23:47:07.534634+00;0;;\N;100025468;2012-07-20 23:47:07.534634+00;11004835;\N;\N;0;f
11003434;;cs215 ;100007117;"<p>If I understand you, this test is to know if the mode function is theta(n) compliant; when it is, then there're a direct relation between the list lenght and the running time. This direct relation is what we can see in the slopes list --if the numbers in the list are more o less equals, because they are obteined putting the times in relation with the lenght and they have to be equals if the function is theta(n) compliant.<br>
thanks Kris</p>";comment;11003426;11003422;2012-07-21 20:37:02.049099+00;0;;11031184;100007117;2012-07-21 20:38:59.19425+00;11004920;\N;\N;0;f
11003436;;cs215 ;100003020;"<p>buddy i am also getting centrality like 1.8 or 1.9 something which is not exactly half of the above given centralities. Could someone explain what wrong am i doing??<br>
i have made a dictionary where movie is the key and the list of actors is the value.</p>";comment;11003271;11003237;2012-07-21 20:44:37.569548+00;0;;\N;100003020;2012-07-21 20:44:37.569548+00;11004922;\N;\N;0;f
11003442;;cs215 ;100020078;"<p><a href=""http://forums.udacity.com/users/100025468/ked4r-4""><a href=""http://forums.udacity.com/users/100025468/ked4r-4"">@ked4r</a></a>: I think that the other matrix multiplication approach that I used is a version of what you are talking about, but customized for unit weight graphs.</p>
<p>Take the adjacency matrix $%G$% consisting of 1's where there are edges and 0's otherwise. Then, $%(i,j)$% entry in matrix product $%G^k$% is the number of paths of length $%k$% between nodes $%i$% and $%j$%. At each $%(i,j)$% in $%G^k$%, I compute the dot product of the corresponding row in $%G^{k-1}$% and column in $%G$% only when $%(i,j)$% entry in $%G^{k-1}$% is 0. <br>
So, for each $%(i,j)$%, I only compute the values in $%G^k$% until I find the first $%l$% for which $%(i,j)$% entry in $%G^l$% is nonzero - the shortest distance between $%i$% and $%j$% is then exactly $%l$%, so I actually store $%l$% as $%(i,j)$% entry in $%G^l$% and this entry is unaltered in $%G^{l+1}, G^{l+2},...$% and so on (since we don't care about the number of paths between two vertices, but whether one exists, it is ok to store any nonzero value here, but I am using $%l$% to avoid storing the value of the shortest path in a separate matrix).  This is basically using the fact that the shortest distance equals the number of edges in the shortest path (something which is NOT necessarily true for graphs with non-unit weights).</p>
<p>Also, it is ok to halt the computation of the dot product for an entry $%(i,j)$% the first time you multiply two nonzero numbers because the dot product will then necessarily be positive.</p>
<p>I realize that I am slightly abusing the notation as my $%G^k$% does not actually contain the matrix product, but instead the lengths of shortest path, but it uses the matrix product for each entry until we reach a nonzero entry (this means that my $%G^k$% does agree with the actual matrix product $%G^k$% on zero entries). Please let me know if this makes sense, or if I should try to be more rigorous in my explanation.</p>
<p>I tried using numpy to implement this, but the iterations were very slow. This method is adaptable to parallel processing because the values of $%G^k$% only depend on $%G^{k-1}$% and $%G^1$% and each dot product is independent.</p>";comment;11003441;11003416;2012-07-21 22:43:53.135124+00;0;;11031251;100020078;2012-07-21 23:10:33.483106+00;11004950;\N;\N;0;f
11003450;;cs215 ;100008880;"<p><a href=""http://forums.udacity.com/users/100088782/chaim""><a href=""http://forums.udacity.com/users/100088782/chaim"">@chaim</a></a> with DFS it'll you as far down a path then backtrack until it's explored all the paths, in the example of the ring a - b - c - d - a DFS will either go a,b,c,d,a or a,d,c,b,a. Either way it will incorrectly think the shortest path to d is 3 (1st example) and b is 3 (2nd example).</p>
<p>If we used BFS on the however, because of the edge between a-d BFS will have correctly found out the shortest path to d is 1.</p>";comment;11002632;11002618;2012-07-22 00:06:09.641834+00;1;;\N;100008880;2012-07-22 00:06:09.641834+00;11004956;\N;\N;0;f
11003479;;cs215 ;100026104;"<p>Hey that's a nice way to get bypass the issue with the key error; however, does the call to the function still have to check to see if the value is in the table?  cause if so, than it is the same amount (or possibly more operations based on what's going on under the hood) + the time and it takes and issues you run into when calling even a built-in function.</p>
<p>Btw... I have also seen in other languages a performance gain in the past from referencing the id or value in a tmp var to prevent an additional lookup.</p>";comment;11003474;11003466;2012-07-22 10:14:53.68596+00;0;;11031432;100026104;2012-07-22 10:56:46.552756+00;11005023;\N;\N;0;f
11003520;;cs215 ;100073491;"<p>Milos, I respectfully disagree. Try telling this to folks who get paid to implement fastest-possible (in absolute terms) implementations of particular algorithms. Few extreme examples include GPU-based password crackers, FPGA-based HFT appliances etc. In real life both algorithms and implementations are very important to achieve top performance and neither field is ""trivial"" in general case. If implementation optimizations were so ""trivial"" then a good compiler (or JIT-environment) would have already implemented them and there would be no benefit in doing it manually, but we all know it is not the case.</p>
<p>Yes, my interest in optimal implementations is likely predicated by my ""programmer's"" side but I actually love both good algorithms and good implementations. To tell you the truth I would probably prefer a good algo to good code :)</p>";comment;11003512;11003496;2012-07-22 20:56:01.491474+00;0;;11031628;100073491;2012-07-22 21:06:43.115645+00;11005094;\N;\N;0;f
11003541;;cs215 ;100020078;"<p>One other thing regarding raising the matrix to its powers. Since the adjacency matrix is symmetric, it is diagonalizable, so its singular value decomposition will necessarily have the first and the third matrix such that their product is the identity matrix.<br>
Then raising the matrix to a power is just a matter of raising the middle diagonal matrix to its power, this is $%O(n)$%, so this would make successive computations of matrix powers fast. <br>
However, I think that computing SVD is $%O(n^3)$% in general case and prone to accuracy issues for large matrices.</p>
<p>Also, do we know whether these graphs are connected? If they are not, we can split them into smaller subgraphs and the adjacency matrices will become smaller. This would be just an improvement in the constant for this particular problem, but not in the order of complexity.</p>
<p>One other exact approach comes to mind: representation using linear programs and solving using simplex algorithm, this is exponential in the worst case, but is supposed to perform well on average. </p>
<p>I was also thinking about using some machine learning techniques. We can represent the vertices by their adjacency lists (or maybe truncated adjacency list). Take some fixed subset of vertices, run shortest path algorithm from them and get exact shortest paths to all vertices from this set of vertices. Then, try to learn the features from these vertices and apply it to the unknown ones in the remainder of the graph. I have no idea how accurate the predictions would be...</p>";comment;11003441;11003416;2012-07-23 02:57:55.119459+00;1;;11031743;100020078;2012-07-23 03:00:37.1696+00;11005149;\N;\N;0;f
