Hora;Nombre completo del usuario;Usuario afectado;Nombre evento;Descripción;Dirección IP
14/03/2020 11:16;Alumna1;-;Módulo de curso visto;The user with id '258' viewed the 'resource' activity with course module id '268'.;217.125.48.43
14/03/2020 11:16;Admin Manuel R.;-;Informe de registros visto;The user with id '2' viewed the log report for the course with id '39'.;87.221.75.73
14/03/2020 11:16;Alumna1;-;Módulo de curso visto;The user with id '258' viewed the 'resource' activity with course module id '272'.;217.125.48.43
14/03/2020 11:15;Alumna1;-;Curso visto;The user with id '258' viewed the course with id '39'.;217.125.48.43
14/03/2020 11:15;Admin Manuel R.;-;Informe de registros visto;The user with id '2' viewed the log report for the course with id '39'.;87.221.75.73
14/03/2020 11:13;Admin Manuel R.;-;Informe de registros visto;The user with id '2' viewed the log report for the course with id '39'.;87.221.75.73
14/03/2020 11:11;Admin Manuel R.;-;Informe de registros visto;The user with id '2' viewed the log report for the course with id '39'.;87.221.75.73
14/03/2020 11:11;Admin Manuel R.;-;Informe de registros visto;The user with id '2' viewed the log report for the course with id '39'.;87.221.75.73
14/03/2020 11:00;Admin Manuel R.;Alumno2;Finalización de actividad de curso actualizada;The user with id '2' overrode the completion state to '0' for the course module with id '258' for the user with id '252'.;87.221.75.73
14/03/2020 10:59;Admin Manuel R.;-;Informe de actividad visto;The user with id '2' viewed the outline activity report for the course with id '39'.;87.221.75.73
14/03/2020 10:58;Admin Manuel R.;-;Informe de registros visto;The user with id '2' viewed the log report for the course with id '39'.;87.221.75.73
14/03/2020 10:57;Admin Manuel R.;-;Informe de registros visto;The user with id '2' viewed the log report for the course with id '39'.;87.221.75.73
14/03/2020 10:56;Admin Manuel R.;Alumna3;Informe de registros de usuario visto;The user with id '2' viewed the user log report for the user with id '260'.;87.221.75.73
14/03/2020 10:56;Admin Manuel R.;Alumna3;Informe de registros de usuario visto;The user with id '2' viewed the user log report for the user with id '260'.;87.221.75.73
14/03/2020 10:56;Admin Manuel R.;Alumna3;Outline report viewed;The user with id '2' viewed the outline report for the user with id '260' for the course with id '39'.;87.221.75.73
14/03/2020 10:56;Admin Manuel R.;Alumna3;Outline report viewed;The user with id '2' viewed the outline report for the user with id '260' for the course with id '39'.;87.221.75.73
14/03/2020 10:55;Admin Manuel R.;Alumna3;Informe de registros de usuario visto;The user with id '2' viewed the user log report for the user with id '260'.;87.221.75.73
14/03/2020 10:54;Admin Manuel R.;Alumna3;Perfil de usuario visto;The user with id '2' viewed the profile for the user with id '260' in the course with id '39'.;87.221.75.73
14/03/2020 10:53;Admin Manuel R.;-;Informe del calificador visto;The user with id '2' viewed the grader report in the gradebook.;87.221.75.73
14/03/2020 10:52;Admin Manuel R.;-;Curso visto;The user with id '2' viewed the course with id '39'.;87.221.75.73
14/03/2020 10:51;Admin Manuel R.;-;Módulo de curso visto;The user with id '2' viewed the 'forum' activity with course module id '208'.;87.221.75.73
14/03/2020 10:51;Admin Manuel R.;-;Curso visto;The user with id '2' viewed the course with id '39'.;87.221.75.73
13/03/2020 20:44;Admin Manuel R.;Alumno4;Informe de registros de usuario visto;The user with id '2' viewed the user log report for the user with id '262'.;87.221.75.73
13/03/2020 20:42;Admin Manuel R.;Alumno4;Informe de registros de usuario visto;The user with id '2' viewed the user log report for the user with id '262'.;87.221.75.73
13/03/2020 20:42;Admin Manuel R.;Alumno4;Perfil de usuario visto;The user with id '2' viewed the profile for the user with id '262' in the course with id '39'.;87.221.75.73
13/03/2020 20:41;Admin Manuel R.;-;Lista de usuarios vista;The user with id '2' viewed the list of users in the course with id '39'.;87.221.75.73
13/03/2020 20:40;Admin Manuel R.;-;Curso visto;The user with id '2' viewed the course with id '39'.;87.221.75.73
13/03/2020 20:38;Admin Manuel R.;-;Informe del calificador visto;The user with id '2' viewed the grader report in the gradebook.;87.221.75.73
13/03/2020 20:36;Admin Manuel R.;-;Curso visto;The user with id '2' viewed the course with id '39'.;87.221.75.73
13/03/2020 20:35;Admin Manuel R.;-;Módulo de curso visto;The user with id '2' viewed the 'forum' activity with course module id '208'.;87.221.75.73
13/03/2020 20:35;Admin Manuel R.;-;Módulo de curso visto;The user with id '2' viewed the 'forum' activity with course module id '208'.;87.221.75.73
13/03/2020 20:35;Admin Manuel R.;-;Curso visto;The user with id '2' viewed the course with id '39'.;87.221.75.73
13/03/2020 12:51;Alumno5;-;Módulo de curso visto;The user with id '268' viewed the 'folder' activity with course module id '301'.;195.77.157.196
13/03/2020 12:50;Alumno5;-;Curso visto;The user with id '268' viewed the course with id '39'.;195.77.157.196
13/03/2020 12:46;Alumno5;-;Se ha visualizado el estado de la entrega.;The user with id '268' has viewed the submission status page for the assignment with course module id '232'.;195.77.157.196
13/03/2020 12:46;Alumno5;-;Módulo de curso visto;The user with id '268' viewed the 'assign' activity with course module id '232'.;195.77.157.196
13/03/2020 12:46;Alumno5;-;Curso visto;The user with id '268' viewed the course with id '39'.;195.77.157.196
13/03/2020 12:45;Alumno5;Alumno5;Informe usuario del curso visto;The user with id '268' viewed the user report for the course with id '39' for user with id '268'.;195.77.157.196
13/03/2020 12:45;Alumno5;-;Se ha visualizado el estado de la entrega.;The user with id '268' has viewed the submission status page for the assignment with course module id '269'.;195.77.157.196
13/03/2020 12:45;Alumno5;-;Módulo de curso visto;The user with id '268' viewed the 'assign' activity with course module id '269'.;195.77.157.196
13/03/2020 12:45;Alumno5;-;Curso visto;The user with id '268' viewed the course with id '39'.;195.77.157.196
