idCustomer;NameCustomer;Country
12346;Customer1;United Kingdom
12347;Customer2;Iceland
12348;Customer3;Finland
12349;Customer4;Italy
12350;Customer5;Norway
12352;Customer6;Norway
12353;Customer7;Bahrain
12354;Customer8;Spain
12355;Customer9;Bahrain
12356;Customer10;Portugal
12357;Customer11;Switzerland
12358;Customer12;Austria
12359;Customer13;Cyprus
12360;Customer14;Austria
12361;Customer15;Belgium
12362;Customer16;Belgium
12363;Customer17;Unspecified
12364;Customer18;Belgium
12365;Customer19;Cyprus
12367;Customer20;Denmark
12370;Customer21;Cyprus
12370;Customer22;Austria
12371;Customer23;Switzerland
12372;Customer24;Denmark
12373;Customer25;Austria
12374;Customer26;Austria
12375;Customer27;Finland
12377;Customer28;Switzerland
12378;Customer29;Switzerland
12379;Customer30;Belgium
12380;Customer31;Belgium
12381;Customer32;Norway
12383;Customer33;Belgium
12384;Customer34;Switzerland
12386;Customer35;Australia
12388;Customer36;Australia
12390;Customer37;Belgium
12391;Customer38;Cyprus
12393;Customer39;Australia
12394;Customer40;Belgium
12394;Customer41;Denmark
12395;Customer42;Belgium
12397;Customer43;Belgium
12398;Customer44;Switzerland
12399;Customer45;Belgium
12401;Customer46;Belgium
12402;Customer47;Belgium
12403;Customer48;Denmark
12405;Customer49;Finland
12406;Customer50;Denmark
12407;Customer51;Belgium
12408;Customer52;Belgium
12409;Customer53;Switzerland
12410;Customer54;Switzerland
12412;Customer55;Denmark
12413;Customer56;France
12414;Customer57;Austria
12415;Customer58;Australia
12417;Customer59;Belgium
12417;Customer60;Spain
12418;Customer61;Switzerland
12420;Customer62;Cyprus
12421;Customer63;Spain
12422;Customer64;Australia
12422;Customer65;Switzerland
12423;Customer66;Belgium
12424;Customer67;Australia
12425;Customer68;Portugal
12426;Customer69;Germany
12427;Customer70;Germany
12428;Customer71;Finland
12429;Customer72;Denmark
12429;Customer73;Austria
12430;Customer74;Norway
12431;Customer75;Australia
12431;Customer76;Belgium
12432;Customer77;Norway
12433;Customer78;Norway
12434;Customer79;Australia
12435;Customer80;Denmark
12436;Customer81;Norway
12437;Customer82;France
12438;Customer83;Norway
12441;Customer84;France
12442;Customer85;Spain
12444;Customer86;Norway
12445;Customer87;Spain
12446;Customer88;RSA
12447;Customer89;Belgium
12448;Customer90;Spain
12449;Customer91;Belgium
12450;Customer92;Spain
12451;Customer93;Switzerland
12452;Customer94;Switzerland
12453;Customer95;Austria
12454;Customer96;Spain
12455;Customer97;Cyprus
12455;Customer98;Spain
12456;Customer99;Switzerland
12457;Customer100;Switzerland
12457;Customer101;Cyprus
12458;Customer102;Switzerland
12461;Customer103;Switzerland
12462;Customer104;Spain
12463;Customer105;Belgium
12464;Customer106;Belgium
12465;Customer107;Belgium
12468;Customer108;Germany
12471;Customer109;Germany
12472;Customer110;Germany
12473;Customer111;Germany
12474;Customer112;Germany
12475;Customer113;Germany
12476;Customer114;Germany
12477;Customer115;Germany
12478;Customer116;Greece
12479;Customer117;Germany
12480;Customer118;Germany
12481;Customer119;Germany
12483;Customer120;Sweden
12484;Customer121;Spain
12488;Customer122;France
12489;Customer123;France
12490;Customer124;France
12491;Customer125;France
12492;Customer126;Germany
12493;Customer127;France
12494;Customer128;France
12497;Customer129;Germany
12498;Customer130;Germany
12500;Customer131;Germany
12501;Customer132;Germany
12502;Customer133;Spain
12503;Customer134;Spain
12504;Customer135;Germany
12505;Customer136;Italy
12506;Customer137;France
12507;Customer138;Spain
12508;Customer139;France
12509;Customer140;France
12510;Customer141;Spain
12512;Customer142;Israel
12513;Customer143;France
12514;Customer144;Italy
12515;Customer145;Italy
12516;Customer146;Germany
12517;Customer147;Germany
12518;Customer148;Germany
12519;Customer149;Germany
12520;Customer150;Germany
12521;Customer151;Germany
12522;Customer152;Germany
12523;Customer153;France
12524;Customer154;Germany
12526;Customer155;Germany
12527;Customer156;Germany
12528;Customer157;Germany
12530;Customer158;Germany
12531;Customer159;Germany
12532;Customer160;France
12534;Customer161;Germany
12535;Customer162;France
12536;Customer163;France
12538;Customer164;Spain
12539;Customer165;Spain
12540;Customer166;Spain
12541;Customer167;Spain
12544;Customer168;Spain
12545;Customer169;Spain
12546;Customer170;Spain
12547;Customer171;Spain
12548;Customer172;Spain
12550;Customer173;Spain
12551;Customer174;Spain
12552;Customer175;Italy
12553;Customer176;France
12556;Customer177;Spain
12557;Customer178;Spain
12558;Customer179;USA
12559;Customer180;Germany
12560;Customer181;Germany
12561;Customer182;Germany
12562;Customer183;France
12564;Customer184;France
12565;Customer185;Saudi Arabia
12566;Customer186;Germany
12567;Customer187;France
12569;Customer188;Germany
12571;Customer189;France
12572;Customer190;Germany
12573;Customer191;France
12574;Customer192;France
12576;Customer193;Poland
12577;Customer194;France
12578;Customer195;Italy
12579;Customer196;France
12580;Customer197;Germany
12581;Customer198;Germany
12582;Customer199;Finland
12583;Customer200;France
12584;Customer201;Italy
12585;Customer202;Germany
12586;Customer203;Italy
12587;Customer204;Finland
12588;Customer205;Finland
12589;Customer206;France
12590;Customer207;Germany
12591;Customer208;Italy
12592;Customer209;Germany
12593;Customer210;France
12594;Customer211;Italy
12596;Customer212;Spain
12597;Customer213;Spain
12598;Customer214;France
12599;Customer215;France
12600;Customer216;Germany
12601;Customer217;Germany
12602;Customer218;France
12603;Customer219;Germany
12604;Customer220;France
12605;Customer221;Germany
12607;Customer222;USA
12609;Customer223;Germany
12610;Customer224;Italy
12611;Customer225;Italy
12612;Customer226;Germany
12613;Customer227;Germany
12614;Customer228;Germany
12615;Customer229;France
12616;Customer230;France
12617;Customer231;France
12618;Customer232;Italy
12619;Customer233;Germany
12620;Customer234;France
12621;Customer235;Germany
12622;Customer236;Germany
12623;Customer237;Germany
12624;Customer238;France
